City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Vuktyl,100,RU,1571167253,96,63.86,57.31,34.574,4.427
Mayo,90,CA,1571167253,67,63.59,-135.9,17.6,3.6
San Cristobal,98,HN,1571167254,75,14.68,-86.92,77.414,1.94
Lasa,20,CY,1571167254,49,34.92,32.53,78.80000000000001,2.1
Tiksi,100,RU,1571167255,88,71.64,128.87,14.594000000000001,2.578
Barrow,98,AR,1571167255,39,-38.31,-60.23,58.514,3.199
Singaparna,93,ID,1571167255,92,-7.35,108.11,69.314,1.077
Fairbanks,40,US,1571167256,57,64.84,-147.72,24.997999999999998,2.1
Kirakira,33,SB,1571167256,87,-10.46,161.92,73.45400000000001,3.42
La Ronge,90,CA,1571167257,69,55.1,-105.3,37.4,1.5
Iqaluit,90,CA,1571167257,90,63.75,-68.52,32.0,4.1
Muros,75,ES,1571167257,93,42.77,-9.06,64.994,8.2
Eyl,1,SO,1571167258,78,7.98,49.82,81.19399999999999,4.348
Kaitangata,19,NZ,1571167259,89,-46.28,169.85,46.994,0.89
The Valley,40,AI,1571167259,74,18.22,-63.06,89.6,3.1
Victoria Point,20,AU,1571167260,100,-27.58,153.3,68.0,2.1
Yellowknife,90,CA,1571167260,92,62.45,-114.38,30.2,7.7
Codrington,75,AU,1571167260,93,-28.95,153.24,64.4,1.276
Maiduguri,97,NG,1571167261,47,11.84,13.15,83.714,3.739
Port Alfred,33,ZA,1571167261,85,-33.59,26.89,60.008,1.79
Nsukka,91,NG,1571167262,90,6.86,7.39,74.714,2.051
San Patricio,100,PY,1571167262,89,-26.98,-56.83,61.754000000000005,2.986
Riberalta,75,BO,1571167262,74,-11.0,-66.08,86.0,4.1
Hilo,20,US,1571167263,65,19.71,-155.08,82.4,2.6
Thompson,90,CA,1571167263,86,55.74,-97.86,33.8,3.6
Busselton,18,AU,1571167263,66,-33.64,115.35,46.004000000000005,2.234
Ballina,90,IE,1571167264,81,54.11,-9.15,53.996,5.7
Talara,0,PE,1571167264,100,-4.58,-81.27,62.6,7.2
Ocho Rios,20,JM,1571167265,70,18.41,-77.1,87.80000000000001,5.7
Glendive,20,US,1571167265,52,47.11,-104.71,44.6,3.6
Jamestown,94,AU,1571167265,83,-33.21,138.6,53.834,0.662
Bambous Virieux,75,MU,1571167266,78,-20.34,57.76,73.4,1.5
Richards Bay,89,ZA,1571167266,91,-28.77,32.06,70.214,8.876
Beyneu,0,KZ,1571167266,52,45.32,55.19,64.45400000000001,2.425
Yar-Sale,100,RU,1571167267,93,66.83,70.83,32.414,10.578
New Norfolk,20,AU,1571167267,86,-42.78,147.06,41.0,5.7
Qaanaaq,100,GL,1571167267,87,77.48,-69.36,19.454,5.666
Palmaner,100,IN,1571167267,91,13.2,78.75,73.45400000000001,1.141
Fernley,20,US,1571167268,20,39.61,-119.25,68.0,1.861
Nikolskoye,20,RU,1571167268,86,59.7,30.79,39.992000000000004,3.0
Haines Junction,100,CA,1571167268,87,60.75,-137.51,19.616,1.798
Srandakan,70,ID,1571167269,92,-7.94,110.25,71.834,2.402
Shahreza,0,IR,1571167269,43,32.01,51.87,55.094,2.089
Prado,8,CO,1571167269,48,3.75,-74.93,84.974,3.042
Alice Springs,19,AU,1571167270,17,-23.7,133.88,82.4,5.1
Lompoc,1,US,1571167270,67,34.64,-120.46,75.992,6.7
Hithadhoo,100,MV,1571167270,76,-0.6,73.08,80.834,3.9
Kailua,20,US,1571167270,54,21.39,-157.74,84.2,5.1
Sao Filipe,30,CV,1571167271,87,14.9,-24.5,76.51400000000001,6.754
Grand Gaube,75,MU,1571167271,78,-20.01,57.66,73.4,1.5
Torbay,75,CA,1571167272,75,47.66,-52.73,48.002,5.1
Victoria,75,BN,1571167272,88,5.28,115.24,80.6,2.1
Tupik,3,RU,1571167272,84,54.43,119.94,26.294,1.269
Sechura,23,PE,1571167272,93,-5.56,-80.82,60.494,7.178
Vila Franca do Campo,75,PT,1571167273,83,37.72,-25.43,71.006,8.2
Yingcheng,100,CN,1571167273,63,30.93,113.57,60.8,1.0
Athabasca,100,CA,1571167273,78,54.72,-113.29,37.274,7.619
Mataura,58,NZ,1571167274,85,-46.19,168.86,51.008,0.566
Bethel,90,US,1571167274,92,60.79,-161.76,30.2,3.1
Pangnirtung,75,CA,1571167274,57,66.15,-65.72,32.0,0.473
Henties Bay,23,NA,1571167275,82,-22.12,14.28,62.006,3.847
Mount Isa,27,AU,1571167275,47,-20.73,139.49,78.80000000000001,2.1
Laguna,75,BZ,1571167275,79,16.17,-88.94,84.2,2.1
Nhulunbuy,57,AU,1571167276,94,-12.18,136.78,68.0,4.023
Hambantota,100,LK,1571167276,75,6.12,81.12,82.274,2.355
Aklavik,90,CA,1571167276,85,68.22,-135.01,17.6,4.6
Somerset East,2,ZA,1571167276,36,-32.72,25.59,59.594,1.101
Faya,2,SA,1571167277,25,18.39,42.45,68.0,6.2
Castanheira de Pera,20,PT,1571167278,72,40.0,-8.21,62.995999999999995,3.1
Hermanus,44,ZA,1571167278,85,-34.42,19.24,60.998000000000005,2.68
Punta Arenas,0,CL,1571167278,70,-53.16,-70.91,55.400000000000006,4.6
Castro,90,CL,1571167279,81,-42.48,-73.76,51.8,4.1
Berdigestyakh,87,RU,1571167279,97,62.1,126.7,14.773999999999997,2.116
Boulder City,1,US,1571167279,13,35.98,-114.83,80.006,1.859
Port Elizabeth,1,US,1571167280,30,39.31,-74.98,71.006,1.5
Georgetown,75,GY,1571167280,78,6.8,-58.16,87.80000000000001,2.1
Lethbridge,75,CA,1571167280,53,49.69,-112.85,50.0,7.2
Mutsu,20,JP,1571167280,93,41.29,141.2,46.994,3.6
Nantucket,1,US,1571167281,58,41.28,-70.1,60.8,5.7
Tagusao,100,PH,1571167281,89,9.19,117.81,76.334,1.129
Chuy,100,UY,1571167281,69,-33.69,-53.46,59.054,6.596
Iberia,61,PE,1571167282,35,-11.41,-69.49,94.874,0.73
Bubaque,32,GW,1571167282,79,11.28,-15.83,82.814,4.716
Ribeira Grande,75,PT,1571167283,88,38.52,-28.7,69.80000000000001,9.8
Hirara,81,JP,1571167283,81,24.8,125.28,76.154,9.525
Rawson,100,AR,1571167283,69,-43.3,-65.11,50.054,8.761
Erzin,40,TR,1571167284,51,36.95,36.2,82.004,3.1
Pitimbu,40,BR,1571167284,65,-7.47,-34.81,82.4,6.2
Kruisfontein,0,ZA,1571167284,78,-34.0,24.73,56.534000000000006,2.099
Chapleau,90,CA,1571167285,81,47.85,-83.4,44.6,2.6
Saint-Joseph,0,FR,1571167285,55,43.56,6.97,64.4,8.2
Puerto Carreno,20,CO,1571167285,62,6.19,-67.49,87.80000000000001,1.59
Saint George,0,GR,1571167286,67,39.45,22.34,62.6,2.001
Tasiilaq,75,GL,1571167286,59,65.61,-37.64,35.6,1.0
Butaritari,100,KI,1571167286,80,3.07,172.79,80.294,5.934
Saldanha,94,PT,1571167286,63,41.42,-6.55,54.014,3.137
Uyemskiy,75,RU,1571167287,93,64.47,40.85,35.6,1.0
Avera,90,US,1571167287,60,33.19,-82.53,71.6,3.204
Tahoua,20,NE,1571167288,30,14.89,5.26,95.0,4.1
Beidao,35,CN,1571167288,87,34.57,105.89,41.414,1.164
Peniche,20,PT,1571167289,67,39.36,-9.38,62.6,3.1
Bollnas,100,SE,1571167289,98,61.35,16.39,42.998000000000005,0.45
Tual,80,ID,1571167290,84,-5.67,132.75,78.85400000000001,2.783
Oliva,100,AR,1571167290,65,-32.04,-63.57,51.314,3.634
Ostrovnoy,78,RU,1571167290,94,68.05,39.51,28.274,2.951
Tuy Hoa,95,VN,1571167291,77,13.08,109.3,81.01400000000001,2.636
Provideniya,90,RU,1571167291,93,64.42,-173.23,39.2,11.0
Cascais,20,PT,1571167291,77,38.7,-9.42,64.4,1.5
Gat,75,SN,1571167292,59,14.69,-16.54,91.4,4.951
College,40,US,1571167292,57,64.86,-147.8,24.997999999999998,2.1
Polaniec,41,PL,1571167292,59,50.43,21.28,64.004,4.6
Novoagansk,100,RU,1571167293,88,61.94,76.66,39.614000000000004,3.801
Zhigansk,93,RU,1571167293,88,66.77,123.37,19.994,6.781
Sitka,0,US,1571167294,28,37.17,-99.65,66.00200000000001,11.18
Tuktoyaktuk,40,CA,1571167294,85,69.44,-133.03,19.4,6.2
Petropavlovsk-Kamchatskiy,0,RU,1571167294,86,53.05,158.65,26.6,1.0
Kodiak,1,US,1571167295,42,39.95,-94.76,64.004,7.2
Los Llanos de Aridane,75,ES,1571167295,64,28.66,-17.92,71.6,4.1
Hami,18,CN,1571167295,31,42.84,93.51,52.754,0.716
Halifax,75,CA,1571167295,82,44.65,-63.58,62.995999999999995,6.2
Emba,20,CY,1571167297,49,34.81,32.42,78.80000000000001,2.1
Deputatskiy,94,RU,1571167297,91,69.3,139.9,5.773999999999997,2.098
Igarka,100,RU,1571167298,96,67.47,86.57,36.914,2.322
Gidole,100,ET,1571167298,73,5.65,37.37,70.574,1.155
Gobabis,100,NA,1571167299,14,-22.45,18.97,84.2,1.5
Karpathos,30,GR,1571167299,83,35.51,27.21,71.6,5.7
Kodinsk,67,RU,1571167299,88,58.6,99.18,39.614000000000004,2.735
Salalah,40,OM,1571167300,74,17.01,54.1,82.4,1.557
Fort-Shevchenko,47,KZ,1571167301,85,44.51,50.26,59.954,5.214
Farah,0,AF,1571167301,33,32.37,62.11,56.714,2.125
Roros,100,NO,1571167301,100,62.57,11.38,37.4,2.6
Oktyabrskoye,75,RU,1571167301,93,56.73,85.44,48.002,6.0
Paamiut,0,GL,1571167302,56,61.99,-49.67,37.634,2.888
East London,23,ZA,1571167302,82,-33.02,27.91,62.6,2.1
Hasaki,75,JP,1571167302,72,35.73,140.83,60.8,3.6
Sorland,40,NO,1571167303,93,67.67,12.69,42.8,2.6
Mastic Beach,1,US,1571167303,42,40.77,-72.85,64.994,1.356
Gombong,46,ID,1571167304,79,-7.19,109.31,75.434,2.801
Lavrentiya,2,RU,1571167304,76,65.58,-170.99,35.294,6.915
Port Hawkesbury,90,CA,1571167304,100,45.62,-61.36,60.008,1.5
Rio Gallegos,0,AR,1571167305,47,-51.62,-69.22,57.2,5.7
Bodden Town,40,KY,1571167305,75,19.28,-81.25,89.6,5.1
Nouadhibou,99,MR,1571167305,73,20.93,-17.03,75.2,4.6
Viedma,99,AR,1571167306,49,-40.81,-62.99,54.194,2.441
Las Guacamayas,60,MX,1571167306,68,18.02,-102.21,87.85400000000001,1.253
Simao,79,CN,1571167306,95,22.76,100.79,58.153999999999996,0.991
Nosy Varika,74,MG,1571167307,86,-20.58,48.53,72.01400000000001,2.305
Ulaanbaatar,0,MN,1571167307,71,47.92,106.92,8.599999999999998,1.0
Koshurnikovo,0,RU,1571167307,76,54.3,93.39,37.094,0.895
Saint-Philippe,1,CA,1571167308,43,45.36,-73.48,57.992000000000004,8.2
Pocatello,1,US,1571167308,32,42.87,-112.44,62.006,2.6
Dakoro,49,NE,1571167308,15,14.51,6.76,95.774,3.515
Klaksvik,83,FO,1571167308,93,62.23,-6.59,48.2,11.3
Tuatapere,98,NZ,1571167309,85,-46.13,167.69,51.008,0.25
Turbat,0,PK,1571167309,16,26.0,63.05,84.974,4.39
Marawi,99,PH,1571167309,89,8.0,124.29,75.992,2.24
Bilma,0,NE,1571167309,15,18.69,12.92,92.534,3.92
Bowen,90,AU,1571167310,94,-20.01,148.25,73.004,2.1
Vredefort,49,ZA,1571167310,45,-27.0,27.37,63.554,1.509
Ponta Delgada,75,PT,1571167310,83,37.73,-25.67,71.006,8.2
Constitucion,20,MX,1571167311,33,23.99,-104.67,80.006,1.0
Praia da Vitoria,40,PT,1571167311,83,38.73,-27.07,73.4,12.343
Tungor,88,RU,1571167311,80,53.39,142.95,33.494,4.311
Vawkavysk,100,BY,1571167312,75,53.15,24.45,60.494,5.55
Lesnoy,79,RU,1571167312,87,59.78,52.13,34.574,4.37
Mayor Pablo Lagerenza,75,PY,1571167313,42,-19.93,-60.77,72.914,5.381
Sokoto,42,NG,1571167313,30,13.06,5.24,89.654,1.466
Vostok,79,RU,1571167313,60,46.45,135.83,27.716,2.799
Kurilsk,77,RU,1571167314,67,45.23,147.88,44.653999999999996,6.122
Pathein,27,MM,1571167314,85,16.78,94.73,77.95400000000001,1.342
Cockburn Town,75,TC,1571167314,66,21.46,-71.14,87.80000000000001,5.1
Parambu,0,BR,1571167314,18,-6.21,-40.7,99.554,3.541
Cuamba,15,MZ,1571167315,39,-14.8,36.54,78.494,4.304
Merrill,1,US,1571167315,35,42.03,-121.6,64.004,1.5
Ilinge,0,ZA,1571167316,70,-31.98,27.04,57.794,2.425
Altamira,75,BR,1571167316,47,-3.2,-52.21,95.0,3.1
Gavirate,90,IT,1571167317,100,45.84,8.72,64.004,7.2
Erenhot,61,CN,1571167317,23,43.65,111.97,39.434,1.635
Lorengau,100,PG,1571167317,74,-2.02,147.27,83.53399999999999,4.657
Mizdah,5,LY,1571167318,44,31.45,12.98,73.634,2.806
Kampong Cham,100,KH,1571167318,88,11.99,105.46,75.614,3.034
Santa Catalina,100,UY,1571167318,90,-33.79,-57.49,53.996,3.58
Seoul,90,KR,1571167319,100,37.57,126.98,50.0,1.0
Nacala,1,MZ,1571167319,81,-14.56,40.69,73.994,3.383
Naberera,0,TZ,1571167319,62,-4.2,36.93,71.294,5.968
Rafraf,40,TN,1571167320,64,37.19,10.18,73.4,5.1
Saint Anthony,1,US,1571167320,26,43.97,-111.68,60.008,5.1
Mnogovershinnyy,17,RU,1571167320,84,53.94,139.92,26.816,2.704
Saskylakh,94,RU,1571167321,98,71.97,114.09,9.914000000000001,0.851
Aljezur,74,PT,1571167321,69,37.31,-8.8,64.004,3.58
Pagudpud,75,PH,1571167322,88,18.56,120.79,78.80000000000001,5.1
Upernavik,100,GL,1571167322,78,72.79,-56.15,27.194,6.436
Baghdad,1,IQ,1571167323,22,33.3,44.38,78.80000000000001,1.5
Bani Walid,0,LY,1571167323,58,31.76,14.0,75.974,7.047
Kloulklubed,40,PW,1571167324,94,7.04,134.26,75.2,3.19
Panzhihua,100,CN,1571167324,94,26.59,101.72,58.514,0.849
Caravelas,45,BR,1571167324,66,-17.73,-39.27,80.474,6.655
Leshukonskoye,16,RU,1571167325,94,64.9,45.76,31.316,2.638
Nome,75,US,1571167325,55,30.04,-94.42,89.99600000000001,5.1
Bajil,17,ES,1571167325,67,38.23,-2.07,48.002,0.89
Flinders,90,AU,1571167326,100,-34.58,150.85,62.995999999999995,5.1
Port-Gentil,40,GA,1571167326,94,-0.72,8.78,78.80000000000001,4.1
Sur,0,OM,1571167326,63,22.57,59.53,78.674,0.573
Bud,100,NO,1571167327,70,62.91,6.91,48.2,5.7
Chickasha,40,US,1571167328,51,35.05,-97.94,86.0,7.2
Kamaishi,0,JP,1571167328,78,39.28,141.86,44.834,2.308
Vitim,100,RU,1571167328,94,59.44,112.57,34.034,3.624
Marsh Harbour,74,BS,1571167328,60,26.54,-77.06,79.574,4.207
Esperance,75,AU,1571167329,100,-33.86,121.89,50.0,3.1
Port Shepstone,7,ZA,1571167329,89,-30.74,30.45,61.214,2.195
Takoradi,67,GH,1571167330,88,4.89,-1.75,77.95400000000001,6.186
Basar,0,IN,1571167330,82,27.98,94.69,60.854,0.914
Regeneracao,20,BR,1571167330,22,-6.24,-42.69,99.73400000000001,2.164
Porto Velho,40,BR,1571167330,52,-8.75,-63.87,91.4,1.0
Nuuk,5,GL,1571167331,44,64.17,-51.74,32.0,7.2
Tura,100,RU,1571167331,96,64.27,100.22,36.014,2.911
Melilla,90,EC,1571167331,78,-0.8,-80.23,77.0,5.1
Iskateley,100,RU,1571167332,97,67.68,53.15,33.854,4.122
Havoysund,40,NO,1571167332,69,71.0,24.66,37.4,2.1
Rajapur,59,BD,1571167332,81,22.57,90.14,76.69399999999999,1.666
Sinnamary,11,GF,1571167333,75,5.38,-52.96,82.094,6.99
Gizo,81,IL,1571167333,57,31.8,34.94,80.006,0.5
Kimbe,61,PG,1571167333,94,-5.56,150.15,72.73400000000001,1.413
Tessalit,3,ML,1571167333,14,20.2,1.01,94.154,3.636
Szczecinek,80,PL,1571167334,89,53.71,16.69,57.002,2.24
Isangel,40,VU,1571167334,88,-19.55,169.27,64.4,1.5
Egvekinot,77,RU,1571167334,89,66.32,-179.17,19.454,6.445
Hanyang,100,CN,1571167335,89,32.14,105.51,56.354,1.262
Kavieng,100,PG,1571167335,74,-2.57,150.8,83.53399999999999,4.422
Ternovka,73,RU,1571167335,67,51.69,41.59,56.354,2.843
Raudeberg,75,NO,1571167335,58,61.99,5.14,53.6,4.6
Bilibino,100,RU,1571167336,88,68.06,166.44,18.014000000000003,1.48
Opuwo,99,NA,1571167336,42,-18.06,13.84,79.214,7.459
Gambela,100,ET,1571167336,92,8.25,34.59,73.274,1.52
Angren,0,UZ,1571167337,40,41.01,70.08,49.694,0.885
Shingu,84,JP,1571167337,63,33.72,135.99,67.154,5.271
Abu Kamal,46,SY,1571167337,15,34.45,40.92,79.394,2.304
Nunoa,54,PE,1571167337,41,-14.48,-70.64,55.814,5.047
Belfast,88,GB,1571167338,87,54.6,-5.93,53.996,3.1
Atambua,73,ID,1571167338,87,-9.11,124.89,71.294,1.103
Belozerskoye,99,RU,1571167339,83,55.82,65.58,41.234,1.231
Misratah,0,LY,1571167339,79,32.38,15.09,75.614,5.384
Kieta,99,PG,1571167339,81,-6.22,155.63,79.03399999999999,2.496
Bandarbeyla,98,SO,1571167340,76,9.49,50.81,81.914,6.601
Comodoro Rivadavia,75,AR,1571167340,44,-45.87,-67.48,60.8,8.7
Dikson,100,RU,1571167340,81,73.51,80.55,25.016,7.361
Prince Rupert,90,CA,1571167341,81,54.32,-130.32,50.0,8.2
Makakilo City,1,US,1571167341,69,21.35,-158.09,84.2,3.1
Umm Lajj,100,SA,1571167341,48,25.02,37.27,84.614,0.436
Malpe,75,IN,1571167342,88,13.35,74.72,77.0,3.1
Oistins,40,BB,1571167342,62,13.07,-59.53,87.80000000000001,7.7
Carbonia,0,IT,1571167343,72,39.17,8.53,69.80000000000001,3.1
Cidreira,100,BR,1571167343,82,-30.17,-50.22,63.914,10.779
Tumbagaan,0,PH,1571167343,70,5.37,120.31,82.814,1.357
Pangai,20,TO,1571167344,83,-19.8,-174.35,78.80000000000001,3.1
Tlacotepec,75,MX,1571167344,35,18.96,-99.93,73.4,2.1
Ruangwa,70,TZ,1571167344,82,-10.07,38.93,74.35400000000001,2.736
Vao,79,EE,1571167345,83,59.1,26.19,41.594,3.323
Dingle,76,PH,1571167345,93,11.0,122.67,73.274,2.763
Talnakh,75,RU,1571167345,100,69.49,88.39,24.8,9.0
Cuiluan,0,CN,1571167345,79,47.72,128.65,24.854,0.602
Avanigadda,93,IN,1571167346,88,16.02,80.92,78.314,2.801
Yulara,47,AU,1571167346,33,-25.24,130.99,73.4,5.1
Kalach-na-Donu,0,RU,1571167346,93,48.69,43.52,51.008,2.0
Saint-Augustin,75,CA,1571167347,43,45.63,-73.98,57.002,4.1
Ahipara,100,NZ,1571167347,100,-35.17,173.16,55.994,13.173
Souillac,51,FR,1571167347,87,45.6,-0.6,60.008,3.6
Trapani,20,IT,1571167347,73,38.02,12.54,75.00200000000001,3.6
Karla,97,EE,1571167348,81,59.37,24.93,44.006,5.1
Diamantino,41,BR,1571167348,36,-14.4,-56.44,95.054,2.426
Terny,50,UA,1571167348,79,50.99,33.98,56.894000000000005,3.21
Amahai,92,ID,1571167349,90,-3.31,129.0,80.006,2.779
Poum,0,MK,1571167349,87,41.28,20.71,51.8,1.0
Paciran,21,ID,1571167349,84,-6.9,112.33,76.874,1.633
Alghero,20,IT,1571167350,77,40.56,8.32,64.4,2.1
Sorong,100,ID,1571167350,99,-0.86,131.25,72.73400000000001,0.93
Chokurdakh,90,RU,1571167350,96,70.62,147.9,8.815999999999999,3.049
Jalu,22,LY,1571167351,29,29.03,21.55,82.274,5.272
Condado,40,BR,1571167351,65,-7.59,-35.1,82.4,6.2
Vila Velha,20,BR,1571167351,66,-3.71,-38.6,84.2,6.2
Iracoubo,11,GF,1571167352,75,5.48,-53.21,82.094,6.99
Necocli,40,CO,1571167352,70,8.42,-76.79,86.0,5.1
Mount Gambier,90,AU,1571167352,93,-37.83,140.78,50.0,2.1
Hualmay,26,PE,1571167353,55,-11.1,-77.61,71.654,4.814
North Platte,1,US,1571167354,26,41.12,-100.77,60.8,11.3
Ambilobe,98,MG,1571167354,76,-13.19,49.05,76.69399999999999,4.568
Clyde River,75,CA,1571167354,73,70.47,-68.59,26.6,5.7
Porto Belo,75,BR,1571167354,93,-27.15,-48.54,66.00200000000001,4.6
Hirschaid,90,DE,1571167355,100,49.82,10.99,62.006,5.7
Butte,1,US,1571167355,45,46.01,-112.54,53.996,2.136
Gorom-Gorom,11,BF,1571167355,12,14.45,-0.24,97.574,4.106
Villa Altagracia,40,DO,1571167356,59,18.67,-70.17,93.2,5.1
Pisco,1,PE,1571167356,30,-13.71,-76.2,71.6,5.1
Menongue,79,AO,1571167356,35,-14.66,17.68,77.95400000000001,2.779
Sawakin,0,SD,1571167357,72,19.1,37.33,85.874,3.078
Mangan,0,IN,1571167357,58,27.5,88.54,50.054,2.171
Changli,100,CN,1571167358,92,30.54,105.42,59.954,2.546
Balsas,70,BR,1571167358,27,-7.53,-46.04,96.674,2.934
Methoni,40,GR,1571167359,77,36.82,21.7,71.99600000000001,2.1
Merauke,63,ID,1571167359,84,-8.49,140.4,73.274,3.002
Portel,98,BR,1571167360,36,-1.94,-50.82,96.674,2.755
Hobyo,65,SO,1571167360,69,5.35,48.53,81.374,4.223
Borovoy,100,RU,1571167360,89,63.23,52.89,30.974,3.259
Havre-Saint-Pierre,75,CA,1571167361,87,50.23,-63.6,46.4,4.6
Westport,1,US,1571167361,31,41.14,-73.36,64.994,2.6
Severo-Kurilsk,67,RU,1571167362,79,50.68,156.12,34.394,13.289
Floriano,38,BR,1571167362,17,-6.77,-43.02,105.134,2.237
Lagoa,71,PT,1571167362,59,37.14,-8.45,64.4,4.6
Conceicao da Barra,17,BR,1571167362,77,-18.59,-39.73,77.95400000000001,8.496
Acari,0,BR,1571167363,27,-6.44,-36.64,93.974,8.528
Kirkwood,16,ZA,1571167363,72,-33.4,25.44,62.6,2.1
Goroka,73,PG,1571167363,93,-6.07,145.39,56.174,2.183
Quiindy,100,PY,1571167363,93,-25.98,-57.23,63.554,3.0
Remanso,83,BR,1571167364,22,-9.62,-42.08,96.854,3.076
Te Anau,86,NZ,1571167364,95,-45.41,167.72,44.114000000000004,1.256
Artigas,100,BR,1571167365,82,-30.4,-56.46,59.954,9.353
Tirat Karmel,61,IL,1571167365,66,32.76,34.97,77.0,2.68
Inhambane,20,MZ,1571167365,78,-23.87,35.38,73.4,2.1
Teguldet,100,RU,1571167366,89,57.31,88.17,47.894,3.282
Wajir,20,KE,1571167366,74,1.75,40.07,82.4,5.66
Port Macquarie,90,AU,1571167367,100,-31.43,152.91,60.8,1.0
Sciacca,20,IT,1571167367,73,37.51,13.08,71.6,2.1
Okhotsk,0,RU,1571167367,61,59.36,143.24,17.294,7.84
Tucupita,81,VE,1571167368,79,9.06,-62.05,84.974,2.098
Tilichiki,100,RU,1571167368,75,60.47,166.1,24.116,4.354
Forbes,10,AU,1571167369,64,-33.38,148.01,55.994,1.861
Tikrit,30,IQ,1571167369,8,34.62,43.68,80.114,4.024
Luba,6,PH,1571167369,86,17.32,120.7,70.394,2.258
Coihaique,90,CL,1571167369,45,-45.58,-72.07,64.4,7.7
Springdale,90,US,1571167370,78,36.19,-94.13,73.994,1.5
Ulcinj,0,ME,1571167370,87,41.93,19.22,60.8,1.0
Kazanskaya,0,RU,1571167370,43,45.41,40.44,64.004,1.924
Melfi,40,IT,1571167371,71,41.0,15.66,69.80000000000001,2.1
Denpasar,20,ID,1571167371,94,-8.65,115.22,77.0,1.5
